Time	Iteration	AverageReturn	FinalReward	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar	ValAverageReturn	ValFinalReward
119.01572823524475	0	-171.65160941180744	-9.425427226691555	70.29787978397589	-41.66566610314187	-385.7735223599347	20.0	0.0	1020	10020	-154.22642156038933	-8.54439650494391
234.4448516368866	1	-170.77789728673903	-9.325295027250421	69.30807366241157	-34.14038470057831	-374.63162728413675	20.0	0.0	1020	20040	-163.40320371685695	-8.826923047798656
349.41922521591187	2	-168.54911910325455	-9.03169764989053	71.20281667353642	-36.35974054579775	-332.8249089733388	20.0	0.0	1020	30060	-151.31392752707444	-7.97954164229528
463.6907901763916	3	-161.09942133065604	-8.158681724533553	63.37146958366593	-32.684544348438095	-316.4062372430066	20.0	0.0	1020	40080	-168.59303349457318	-9.005986234015724
578.2172091007233	4	-159.06686398381797	-8.27777257291596	66.59584305470233	-28.193495203676527	-328.89778370128545	20.0	0.0	1020	50100	-152.42020343360235	-7.825370603949802
692.517847776413	5	-169.16330640458523	-8.664713886099966	67.1854605392179	-26.33800884357689	-352.0225673268306	20.0	0.0	1020	60120	-145.0927544439237	-7.722287524483242
806.9761073589325	6	-163.46480302325318	-8.23211929500552	65.05789079544688	-23.859141438978583	-350.1388441780373	20.0	0.0	1020	70140	-142.2435053758038	-7.254921851369983
921.5192472934723	7	-164.81899691363756	-8.253409198573918	67.89200592179226	-25.70441227798348	-352.37636702229634	20.0	0.0	1020	80160	-126.03647805226052	-6.244839103450599
1035.4878387451172	8	-150.75183691645577	-7.2918794363192365	66.84110772545831	-21.22049674944176	-386.6329374668844	20.0	0.0	1020	90180	-143.31175972212696	-7.136763365860963
1150.0277483463287	9	-146.27062451215667	-6.810466984585346	69.96920067856792	-29.58861666962242	-358.050390624378	20.0	0.0	1020	100200	-134.5574808721041	-6.592498947180624
1264.789571762085	10	-150.02777529733046	-7.077712310924607	71.6861337029033	-24.449028267988993	-355.2807209242843	20.0	0.0	1020	110220	-144.67466567175202	-6.529693101652988
1378.9344704151154	11	-143.02154364961677	-6.496392928543191	67.44616790266213	-28.378920637798345	-359.7581917274957	20.0	0.0	1020	120240	-124.35691366131834	-5.37870222522153
1493.4995362758636	12	-139.07195132042642	-6.230007233988348	69.51498865658621	-18.598165879532775	-368.6777865439783	20.0	0.0	1020	130260	-149.21650796188737	-7.143137444572862
1607.508719921112	13	-140.95515211366688	-6.449718466149722	71.57765341922057	-17.539936726611646	-389.6423551198884	20.0	0.0	1020	140280	-128.76136857483138	-6.341309826641994
1721.768086194992	14	-134.80193261974458	-5.880374037688116	70.27530451835	-22.693189085735558	-352.6131192563315	20.0	0.0	1020	150300	-124.6082923129919	-5.104993603637198
1836.3093979358673	15	-138.55777553587924	-5.774783332319598	66.50645373935372	-29.12465932236302	-396.22562663054777	20.0	0.0	1020	160320	-124.88694444730385	-5.243172635090405
1950.5838408470154	16	-134.0492445633664	-5.731045559514435	71.18734184254046	-21.69691107167219	-379.7872458613584	20.0	0.0	1020	170340	-138.65035845187023	-5.66411631276539
2064.255565881729	17	-122.44864690277895	-5.121889994624583	66.31841101025448	-17.1195315732044	-454.3622998428086	20.0	0.0	1020	180360	-109.42458687249236	-4.529995457633961
