Time	Iteration	AverageReturn	FinalReward	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar	ValAverageReturn	ValFinalReward
117.65839052200317	0	-167.49189000895709	-9.145541160253195	65.29740265956572	-27.056556215265765	-347.46678364244053	20.0	0.0	1020	10020	-175.61113941412938	-9.363048993868986
232.24260210990906	1	-162.12872097563425	-8.84564683277246	64.80975334538029	-37.93619165799228	-368.761271744218	20.0	0.0	1020	20040	-177.59640178014135	-9.332249090997852
346.14383840560913	2	-173.38958065417438	-9.49491490615784	66.43746539528847	-31.159454592365382	-355.7867789118803	20.0	0.0	1020	30060	-172.95833351673548	-9.049577780517433
460.99639105796814	3	-160.11679663479183	-8.36069483035773	63.92681339267589	-25.48759507704727	-337.4364964198195	20.0	0.0	1020	40080	-146.90492543640286	-8.703075403431203
575.3065207004547	4	-158.97980825313172	-8.549606645040098	70.85843261617589	-29.138748080637857	-358.5748446973128	20.0	0.0	1020	50100	-157.94310012040933	-7.5313540928421165
689.0894403457642	5	-160.78696679460015	-8.48037518676484	64.69848418930283	-36.514426958278804	-308.5604230813624	20.0	0.0	1020	60120	-148.71600973278666	-8.031141612833592
803.1152687072754	6	-166.09382690753725	-8.30099950249332	68.98187416020652	-23.97492373178597	-360.4068048418767	20.0	0.0	1020	70140	-176.8103931304781	-8.830336014753204
917.0667259693146	7	-153.44318434080876	-7.986229546968342	63.359898296923525	-32.88793343067987	-377.24899225721987	20.0	0.0	1020	80160	-126.07981283382678	-6.772610739325205
1031.063556432724	8	-150.9243040114347	-7.520237656627425	68.70205107363373	-28.09485147847919	-346.3595307616876	20.0	0.0	1020	90180	-148.38841336495372	-7.060472603277831
1145.6582715511322	9	-137.87492425985738	-6.7072185406672045	67.42668469059576	-28.908120410092213	-350.8057127750635	20.0	0.0	1020	100200	-140.59253401348508	-6.329334375750633
1259.6796686649323	10	-151.8305988654781	-7.182095918714133	67.95833706114281	-23.24236518305374	-415.47115495179486	20.0	0.0	1020	110220	-143.08633746055764	-7.05830069672058
1373.8499493598938	11	-139.47977988797794	-6.571206437700491	66.89043420090847	-26.13854645356702	-350.26826084558934	20.0	0.0	1020	120240	-143.10788221168042	-6.485410792488815
1487.8829112052917	12	-142.90927290031857	-6.632535510135867	67.15999208140929	-23.955563752478326	-367.7909604748394	20.0	0.0	1020	130260	-136.5417847501991	-6.572886515771746
1602.1803245544434	13	-141.9216883499785	-6.268490094449875	65.20335621633502	-14.176741813176097	-341.8706187123132	20.0	0.0	1020	140280	-130.5803833907647	-5.546546726561736
1716.9164726734161	14	-136.30031434645417	-5.920195694182232	64.40672538773424	-25.38638150151879	-315.65788337927245	20.0	0.0	1020	150300	-120.16187174904896	-5.256981524894332
1831.0682096481323	15	-127.7470799723596	-5.5395328153823975	62.57784887882755	-21.67582244695597	-411.1348967555145	20.0	0.0	1020	160320	-127.19562909925314	-4.937919161675057
1945.1998817920685	16	-120.70705354118256	-4.998508484791493	54.678906752240735	-24.66447708039868	-325.0945675844133	20.0	0.0	1020	170340	-132.4464773699456	-5.946369661505911
2060.013652086258	17	-124.25639163147567	-5.195998237679653	60.8026769003373	-21.26259540271791	-356.02319076107545	20.0	0.0	1020	180360	-151.16877687353562	-6.885538200497391
2173.797565460205	18	-129.29419503248994	-5.581848423153465	69.44056795569531	-16.54988476502021	-391.0569467528986	20.0	0.0	1020	190380	-99.68867195196155	-4.449067505999053
2287.682250738144	19	-126.78461601303734	-5.316371708578799	62.789050614353336	-17.819359799153435	-354.713194729038	20.0	0.0	1020	200400	-101.37851667599233	-3.8500310317501025
2402.413894176483	20	-125.76125181700176	-5.48658129167665	67.45161745069876	-26.71530534640862	-352.16032080384576	20.0	0.0	1020	210420	-109.43469169017963	-4.395058045834429
2516.6735711097717	21	-126.19955645216788	-5.077751600066708	69.26138506130334	-17.468695340068905	-410.47708858385874	20.0	0.0	1020	220440	-106.71572517839424	-4.634023452689398
2630.8741385936737	22	-115.30732228921403	-4.684451423675494	61.06096090846611	-15.569276360677376	-370.4109433802706	20.0	0.0	1020	230460	-92.82923725341152	-4.181618032004846
2744.979496240616	23	-117.45055727968634	-4.898733050487059	60.63701797995473	-14.674723481423586	-419.78516097647025	20.0	0.0	1020	240480	-105.46572247427885	-4.340850250888915
