Time	Iteration	AverageReturn	FinalReward	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar	ValAverageReturn	ValFinalReward
8.804860830307007	0	-293.0804041539621	-15.09885815500331	44.91749211496865	-169.51049855229772	-438.79819149670374	20.0	0.0	252	10080	-295.87239877005345	-14.981407128902633
16.330843925476074	1	-292.7015092396369	-14.973463609328734	48.87273036316067	-145.29673159247537	-425.98922586541977	20.0	0.0	252	20160	-272.8251159917724	-13.819241549934915
23.432021856307983	2	-293.3332673240032	-15.263115022083579	46.89079039258086	-160.13573441540174	-430.76503843815715	20.0	0.0	252	30240	-296.19470070195626	-15.289281492437206
30.4084210395813	3	-288.3576006710193	-14.741167829741507	49.93486530406407	-158.79830282927574	-441.85989962156384	20.0	0.0	252	40320	-280.2589752099973	-14.102988805828652
37.358500957489014	4	-284.8072277743059	-14.466784309818575	50.61838037812604	-101.51272958832894	-443.8824658090106	20.0	0.0	252	50400	-284.25405771367656	-14.767003236371337
44.500792026519775	5	-283.73271775601074	-14.205180037290544	49.89972608857856	-129.85128234769655	-444.9194146900066	20.0	0.0	252	60480	-275.9966716861076	-13.253172451015525
51.604037046432495	6	-282.024403892183	-14.019179822565475	49.53034217763254	-121.11918745557112	-429.82845876246756	20.0	0.0	252	70560	-275.50853313079426	-13.489092105756427
58.712671995162964	7	-277.4105482872718	-13.768555106282763	49.23828864254264	-122.22565431088528	-400.05177820469675	20.0	0.0	252	80640	-273.7347283792509	-14.072476750364943
66.73604798316956	8	-274.44951737581624	-13.318633174469225	45.874700302130606	-107.4030314244471	-416.558872299831	20.0	0.0	252	90720	-260.69274307086596	-12.446815098894705
74.17710900306702	9	-264.2685920506185	-12.554670866176918	48.94339319074125	-136.54831730301163	-425.49597319128594	20.0	0.0	252	100800	-262.2626058433786	-12.697996817596414
82.36404204368591	10	-258.6508260100873	-11.92579680838786	46.77828077617374	-132.95348318297064	-383.7445738914696	20.0	0.0	252	110880	-247.33459440495395	-11.01644240904171
90.22244501113892	11	-249.4428393663373	-11.341224082981098	49.453841362943145	-109.39000370502022	-374.305469906855	20.0	0.0	252	120960	-235.5876377719849	-10.504289855817943
97.11260390281677	12	-245.01862367713537	-10.722794346723477	48.29421491703727	-128.47315112918417	-431.2113330645974	20.0	0.0	252	131040	-237.10905529580404	-10.293695595199665
104.3132860660553	13	-236.38498779611692	-10.177698647704888	47.7285351077984	-108.68068670788462	-384.2912162409011	20.0	0.0	252	141120	-227.84309544060656	-9.290888810267766
111.17608189582825	14	-228.7740370718775	-9.410273035708666	48.36713177035061	-115.10387073138735	-390.50425433142084	20.0	0.0	252	151200	-211.14874689766864	-8.31810438899481
118.43378186225891	15	-214.07998794889073	-8.392385763460343	45.90847547257422	-109.2107805454755	-373.3961060222659	20.0	0.0	252	161280	-199.75455391527024	-7.402586971413101
125.8177478313446	16	-203.15360248353076	-7.519879496727094	45.377666418361635	-91.46427761061625	-403.75248849292524	20.0	0.0	252	171360	-188.898634408175	-6.464271935091013
132.74245810508728	17	-193.36477366594195	-7.158543755206368	43.77084249701332	-96.24870568110377	-351.71291465477793	20.0	0.0	252	181440	-184.76205547399118	-6.57547476537854
